Time, sec      Calc_Charge, C   Calc_Current, A  Calc_Energy, J   Real_Charge, C   Real_Current, A  Real_Energy, J   Abs_Energy_diff, J   Rel_Energy_diff, -   
0.000000e+00   1.000000e+00     0.000000e+00     5.000000e-01     1.000000e+00     0.000000e+00     5.000000e-01     0.000000e+00         0.000000e+00         
2.000000e-01   9.800667e-01     -1.986667e-01    4.999996e-01     9.800666e-01     -1.986693e-01    5.000000e-01     4.422222e-07         4.422224e-07         
4.000000e-01   9.210622e-01     -3.894132e-01    4.999991e-01     9.210610e-01     -3.894183e-01    5.000000e-01     8.844441e-07         8.844448e-07         
6.000000e-01   8.253390e-01     -5.646352e-01    4.999987e-01     8.253356e-01     -5.646425e-01    5.000000e-01     1.326665e-06         1.326667e-06         
8.000000e-01   6.967130e-01     -7.173475e-01    4.999982e-01     6.967067e-01     -7.173561e-01    5.000000e-01     1.768887e-06         1.768890e-06         
1.000000e+00   5.403122e-01     -8.414620e-01    4.999978e-01     5.403023e-01     -8.414710e-01    5.000000e-01     2.211107e-06         2.211112e-06         
1.200000e+00   3.623715e-01     -9.320309e-01    4.999973e-01     3.623578e-01     -9.320391e-01    5.000000e-01     2.653327e-06         2.653335e-06         
1.400000e+00   1.699847e-01     -9.854436e-01    4.999969e-01     1.699671e-01     -9.854497e-01    5.000000e-01     3.095547e-06         3.095557e-06         
1.600000e+00   -2.917840e-02    -9.995707e-01    4.999965e-01     -2.919952e-02    -9.995736e-01    5.000000e-01     3.537767e-06         3.537779e-06         
1.800000e+00   -2.271782e-01    -9.738491e-01    4.999960e-01     -2.272021e-01    -9.738476e-01    5.000000e-01     3.979986e-06         3.980002e-06         
2.000000e+00   -4.161211e-01    -9.093043e-01    4.999956e-01     -4.161468e-01    -9.092974e-01    5.000000e-01     4.422205e-06         4.422224e-06         
2.200000e+00   -5.884749e-01    -8.085095e-01    4.999951e-01     -5.885011e-01    -8.084964e-01    5.000000e-01     4.864423e-06         4.864447e-06         
2.400000e+00   -7.373685e-01    -6.754829e-01    4.999947e-01     -7.373937e-01    -6.754632e-01    5.000000e-01     5.306641e-06         5.306669e-06         
